"Louisville Metro, KY"	"38.2527, -85.7585"																																																																									3	623771	11		12	624697	66	10.6	12	623735	55	8.8	12	626018	50	8	12	624030	71	11.4	12	629679	71	11.3	12	631260	62	9.8	12	660582	52	7.9	12	665152	48	7.2	12	666200	62	9.3	12	671120	48	7.2	12	677710	56	8.3	12	680550	81	11.9
"Boston PD, MA"	"42.3601, -71.0589"	12	573131	87	15.2	12	574107	105	18.3	12	575882	76	13.2	12	579921	93	16	12	580095	99	17.1	12	574283	143	24.9	12	572454	113	19.7	12	572822	73	12.7	12	553870	98	17.7	12	556724	85	15.3	12	550715	96	17.4	12	552519	59	10.7	12	555024	43	7.7	12	559631	34	6.1	12	557812	31	5.6	12	589141	39	6.6	12	591944	65	11	12	596444	60	10.1	12	589795	39	6.6	12	580087	61	10.5	12	567589	73	12.9	12	562393	75	13.3	12	591855	65	11	12	604465	62	10.3	12	624222	50	8	12	617594	73	11.8	12	621359	63	10.1	12	630648	57	9	12	643799	39	6.1	12	654413	53	8.1	12	665258	38	5.7
"Baltimore City PD, MD"	"39.2904, -76.6122"	12	771097	213	27.6	12	783542	240	30.6	12	764893	226	29.5	12	763880	234	30.6	12	763138	262	34.3	12	736014	305	41.4	12	748099	304	40.6	12	755517	335	44.3	12	732968	353	48.2	12	739180	321	43.4	12	712209	322	45.2	12	716446	330	46.1	12	719587	312	43.4	12	662253	313	47.3					12	651154	261	40.1	12	660826	256	38.7	12	671028	253	37.7	12	644554	270	41.9	12	634279	276	43.5	12	641097	269	42	12	637556	276	43.3	12	624237	282	45.2	12	634549	234	36.9	12	638755	238	37.3	12	620961	223	35.9	12	626848	197	31.4	12	625474	218	34.9	12	622671	233	37.4	12	623513	211	33.8	12	621252	344	55.4
"Detroit PD, MI"	"42.3314, -83.0458"	12	1090581	635	58.2	12	1096947	648	59.1	12	1091523	686	62.8	12	1086714	629	57.9	12	1039599	624	60	12	1027974	582	56.6	12	1036246	615	59.3	12	1044128	595	57	12	1020062	579	56.8	12	1022283	541	52.9	12	997297	475	47.6	12	1002299	428	42.7	12	1021412	469	45.9	12	999976	430	43	12	975020	415	42.6	12	951270	396	41.6	12	956283	395	41.3	12	961987	402	41.8	12	927766	366	39.4	12	914353	385	42.1	12	900932	356	39.5	12	884462	421	47.6	12	860971	392	45.5	12	905783	323	35.7	12	908441	363	40	12	713777	310	43.4	12	713239	344	48.2	12	707096	386	54.6	12	699889	316	45.2	12	684694	298	43.5	12	673225	295	43.8
"Charlotte-Mecklenburg PD, NC"	"35.2271, -80.8431"	12	335690	56	16.7	12	339767	53	15.6	12	356596	52	14.6	12	370492	46	12.4	12	372612	73	19.6	12	395934	93	23.5	12	402618	114	28.3	12	408951	99	24.2	12	422862	122	28.9	12	527121	87	16.5	12	544146	89	16.4	12	554070	71	12.8	12	562005	59	10.5	12	593078	65	11	12	604931	84	13.9	12	625810	75	12	12	636459	66	10.4	12	646864	67	10.4	12	668003	66	9.9	12	661883	59	8.9	12	677122	85	12.6	12	699398	83	11.9	12	733291	76	10.4	12	758769	83	10.9	12	777708	58	7.5	12	779541	61	7.8	12	789478	56	7.1	12	808504	52	6.4	12	837638	59	7	12	856916	47	5.5	12	877817	61	6.9
"Albuquerque PD, NM"	"35.0853, -106.6056"	12	357051	42	11.8	12	364196	49	13.5	12	371756	48	12.9	12	378176	49	13	12	384801	41	10.7	12	384736	34	8.8	12	393148	51	13	12	401529	42	10.5	12	407286	50	12.3	12	416917	45	10.8	12	419714	53	12.6	12	426736	70	16.4	12	431027	49	11.4	12	422417	37	8.8	12	420169	48	11.4	12	448607	33	7.4	12	451098	34	7.5	12	457488	51	11.1	12	468764	51	10.9	12	479074	41	8.6	12	490631	53	10.8	12	500955	34	6.8	12	513124	47	9.2	12	527464	38	7.2	12	530636	56	10.6	12	545852	42	7.7	12	551961	35	6.3	12	553684	41	7.4	12	558165	37	6.6	12	558874	30	5.4	12	559721	43	7.7
"Columbus PD, OH"	"39.9612, -82.9988"	12	565682	72	12.7	12	566115	78	13.8	12	567800	85	15	12	588428	69	11.7	12	572341	90	15.7	12	632910	89	14.1	12	638533	138	21.6	12	643028	113	17.6	12	646933	105	16.2	12	647860	100	15.4	12	638729	77	12.1	12	640297	89	13.9	12	641338	84	13.1	12	661227	78	11.8	12	673401	71	10.5	12	711470	67	9.4	12	712748	81	11.4	12	715739	81	11.3	12	726151	109	15	12	729911	78	10.7	12	730329	103	14.1	12	731547	85	11.6	12	735981	79	10.7	12	751887	100	13.3	12	759391	82	10.8	12	787033	95	12.1	12	787609	87	11	7	797384	32		12	816364	78	9.6	12	830811	85	10.2	12	847745	77	9.1
"Oklahoma City PD, OK"	"35.4676, -97.5164"	12	443575	61	13.8	12	444119	60	13.5	12	441408	48	10.9	12	440136	60	13.6	12	431982	61	14.1	12	444719	68	15.3	12	449025	56	12.5	12	454255	61	13.4	12	457448	80	17.5	12	461271	65	14.1	12	466232	227	48.7	12	469632	67	14.3	12	472046	59	12.5	12	463637	56	12.1	12	473772	56	11.8	12	506132	38	7.5	12	507517	45	8.9	12	512448	38	7.4	12	521681	49	9.4	12	525094	39	7.4	12	531688	54	10.2	12	536016	55	10.3	12	542199	58	10.7	12	552452	57	10.3	12	556939	65	11.7	12	579999	54	9.3	12	586208	58	9.9	12	595607	85	14.3	12	605034	62	10.2	12	617975	45	7.3	12	630621	73	11.6
"Portland PD, OR"	"45.5231, -122.6765"	12	367571	43	11.7	12	368439	46	12.5	12	390845	66	16.9	12	387659	45	11.6	12	425788	38	8.9	12	437319	33	7.5	12	449671	53	11.8	12	458132	46	10	12	454889	58	12.8	12	463072	50	10.8	12	458623	43	9.4	12	467906	51	10.9	12	473696	46	9.7	12	488813	26	5.3	12	508984	35	6.9	12	529121	19	3.6	12	537081	21	3.9	12	544604	20	3.7	12	545271	27	5	12	543838	29	5.3	12	540389	20	3.7	12	542174	20	3.7	12	538133	22	4.1	12	553023	26	4.7	12	560908	19	3.4	12	583776	22	3.8	12	589991	20	3.4	12	598037	20	3.3	12	609136	14	2.3	12	615672	26	4.2	12			
"Memphis PD, TN"	"35.1495, -90.0490"	12	654626	122	18.6	12	660255	161	24.4	12	659720	143	21.7	12	668935	174	26	12	651081	141	21.7	12	610337	195	31.9	12	619981	169	27.3	12	628865	176	28	12	618981	198	32	12	628375	159	25.3	12	623902	181	29	12	631626	161	25.5	12	637492	138	21.6	12	604242	115	19	12	609851	118	19.3	12	650100	147	22.6	12	655898	158	24.1	12	662441	149	22.5	12	653858	126	19.3	12	652526	107	16.4	12	678988	138	20.3	12	680828	149	21.9	12	669264	131	19.6	12	672046	138	20.5	12	667421	132	19.8	12	646889	89	13.8	12	652725	117	17.9	12	657436	133	20.2	12	657691	125	19	12	654922	139	21.2	12	657936	135	20.5
